mouse_id,session_id,electrode_group,cluster_id,bc_label,manual_label
AB127,AB127_20240821_103757,imec1_shank0,135,mua,NOISE
AB127,AB127_20240821_103757,imec2_shank0,472,mua,NOISE
AB147,AB147_20241212_151234,imec4_shank0,131,mua,NOISE
AB147,AB147_20241212_151234,imec2_shank0,204,mua,NOISE
AB127,AB127_20240821_103757,imec1_shank0,408,mua,NOISE
AB127,AB127_20240821_103757,imec0_shank0,454,mua,NOISE
AB127,AB127_20240821_103757,imec1_shank0,91,mua,NOISE
AB127,AB127_20240821_103757,imec1_shank0,113,mua,NOISE
AB147,AB147_20241212_151234,imec4_shank0,143,mua,NOISE
AB147,AB147_20241212_151234,imec1_shank0,221,mua,NOISE
MH013,MH013_20250218_110530,imec1_shank0,316,mua,NOISE
AB127,AB127_20240821_103757,imec1_shank0,419,mua,NOISE
AB127,AB127_20240821_103757,imec0_shank0,487,mua,NOISE
MH008,MH008_20250203_110046,imec0_shank0,98,mua,NOISE
MH008,MH008_20250203_110046,imec0_shank0,155,mua,NOISE
MH008,MH008_20250203_110046,imec0_shank0,100,mua,NOISE
AB127,AB127_20240821_103757,imec1_shank0,339,mua,NOISE
AB147,AB147_20241212_151234,imec2_shank0,111,mua,NOISE
AB127,AB127_20240821_103757,imec1_shank0,342,mua,NOISE
AB127,AB127_20240821_103757,imec1_shank0,340,mua,NOISE
AB147,AB147_20241212_151234,imec1_shank0,270,mua,NOISE
AB147,AB147_20241212_151234,imec4_shank0,145,mua,NOISE
AB127,AB127_20240821_103757,imec0_shank0,371,mua,NOISE
AB147,AB147_20241212_151234,imec1_shank0,36,mua,NOISE
AB127,AB127_20240821_103757,imec0_shank0,453,mua,NOISE
AB127,AB127_20240821_103757,imec0_shank0,458,mua,NOISE
AB127,AB127_20240821_103757,imec1_shank0,335,mua,NOISE
AB147,AB147_20241212_151234,imec3_shank0,97,mua,NOISE
AB127,AB127_20240821_103757,imec0_shank0,455,mua,NOISE
AB147,AB147_20241212_151234,imec4_shank0,555,mua,OK
AB127,AB127_20240821_103757,imec1_shank0,336,mua,OK
AB147,AB147_20241212_151234,imec4_shank0,132,mua,OK
AB127,AB127_20240821_103757,imec1_shank0,341,mua,OK
AB127,AB127_20240821_103757,imec1_shank0,239,mua,OK
AB127,AB127_20240821_103757,imec0_shank0,536,mua,OK
MH008,MH008_20250203_110046,imec0_shank0,162,mua,NOISE
AB147,AB147_20241212_151234,imec1_shank0,126,mua,NOISE
AB127,AB127_20240821_103757,imec1_shank0,184,mua,OK
AB147,AB147_20241212_151234,imec3_shank0,242,mua,NOISE
AB147,AB147_20241212_151234,imec0_shank0,71,mua,OK
AB127,AB127_20240821_103757,imec0_shank0,83,mua,OK
AB147,AB147_20241212_151234,imec3_shank0,236,mua,NOISE
AB127,AB127_20240821_103757,imec2_shank0,680,mua,NOISE
AB127,AB127_20240821_103757,imec0_shank0,70,mua,OK
